# x_m,y_m,w_tr_right_m,w_tr_left_m
1149.2,115.78,4,4
1144.6,115.72,4,4
1139.9,115.68,4,4
1135.3,115.68,4,4
1130.7,115.68,4,4
1126.1,115.68,4,4
1121.4,115.66,4,4
1116.8,115.59,4,4
1112.2,115.59,4,4
1107.6,115.59,4,4
1103,115.59,4,4
1098.4,115.59,4,4
1093.7,115.59,4,4
1089.2,115.54,4,4
1084.6,115.5,4,4
1080,115.5,4,4
1075.4,115.5,4,4
1070.8,115.5,4,4
1066.2,115.5,4,4
1061.6,115.5,4,4
1057,115.5,4,4
1052.4,115.5,4,4
1047.8,115.5,4,4
1043.2,115.5,4,4
1038.6,115.5,4,4
1034,115.5,4,4
1029.4,115.5,4,4
1024.8,115.5,4,4
1020.2,115.5,4,4
1015.6,115.5,4,4
1011,115.5,4,4
1006.2,115.53,4,4
1001.7,115.58,4,4
997.12,115.59,4,4
992.51,115.59,4,4
987.91,115.59,4,4
983.31,115.59,4,4
978.71,115.59,4,4
974.11,115.59,4,4
969.51,115.59,4,4
964.9,115.59,4,4
960.3,115.59,4,4
955.7,115.59,4,4
951.1,115.59,4,4
946.5,115.59,4,4
941.9,115.59,4,4
937.3,115.59,4,4
932.69,115.59,4,4
928.09,115.59,4,4
923.49,115.59,4,4
918.89,115.59,4,4
914.29,115.59,4,4
909.69,115.59,4,4
905.08,115.59,4,4
900.48,115.59,4,4
895.88,115.59,4,4
891.28,115.59,4,4
886.68,115.59,4,4
882.08,115.59,4,4
877.47,115.59,4,4
872.87,115.59,4,4
868.27,115.59,4,4
863.67,115.59,4,4
859.07,115.59,4,4
854.47,115.59,4,4
849.87,115.59,4,4
845.11,115.56,4,4
840.48,115.55,4,4
835.88,115.55,4,4
831.41,115.51,4,4
826.77,115.5,4,4
822.16,115.5,4,4
817.56,115.5,4,4
812.96,115.5,4,4
808.36,115.5,4,4
803.76,115.5,4,4
799.16,115.5,4,4
794.55,115.5,4,4
789.95,115.5,4,4
785.35,115.5,4,4
780.75,115.5,4,4
776.15,115.5,4,4
771.55,115.5,4,4
766.85,115.49,4,4
762.42,115.43,4,4
757.83,115.41,4,4
753.23,115.41,4,4
748.63,115.41,4,4
744.03,115.41,4,4
739.43,115.41,4,4
734.67,115.39,4,4
730.08,115.32,4,4
725.44,115.32,4,4
720.84,115.32,4,4
716.24,115.32,4,4
711.52,115.31,4,4
707.1,115.24,4,4
702.52,115.22,4,4
697.92,115.22,4,4
693.32,115.22,4,4
688.64,115.2,4,4
684.02,115.13,4,4
679.42,115.13,4,4
674.82,115.13,4,4
670.2,115.13,4,4
665.69,115.05,4,4
661.11,115.04,4,4
656.51,115.04,4,4
651.91,115.04,4,4
647.45,114.98,4,4
642.89,114.95,4,4
638.28,114.95,4,4
633.68,114.95,4,4
629.03,114.94,4,4
624.55,114.87,4,4
619.97,114.86,4,4
615.37,114.86,4,4
610.77,114.86,4,4
606.11,114.85,4,4
601.63,114.78,4,4
597.05,114.76,4,4
592.45,114.76,4,4
587.85,114.76,4,4
583.25,114.76,4,4
578.53,114.75,4,4
574.12,114.69,4,4
569.54,114.67,4,4
564.94,114.67,4,4
560.33,114.67,4,4
555.73,114.67,4,4
551.13,114.67,4,4
546.53,114.67,4,4
541.93,114.67,4,4
537.34,114.62,4,4
532.72,114.58,4,4
528.12,114.58,4,4
523.52,114.58,4,4
518.92,114.58,4,4
514.32,114.58,4,4
509.72,114.58,4,4
505.12,114.58,4,4
500.51,114.58,4,4
495.74,114.56,4,4
491.27,114.5,4,4
486.71,114.49,4,4
482.11,114.49,4,4
477.51,114.49,4,4
472.9,114.49,4,4
468.3,114.49,4,4
463.7,114.49,4,4
459.1,114.49,4,4
454.38,114.45,4,4
449.84,114.4,4,4
445.2,114.4,4,4
440.6,114.4,4,4
436,114.4,4,4
431.4,114.4,4,4
426.8,114.4,4,4
422.15,114.39,4,4
417.67,114.33,4,4
413.08,114.3,4,4
408.48,114.3,4,4
403.88,114.3,4,4
399.28,114.3,4,4
394.68,114.3,4,4
389.93,114.27,4,4
385.29,114.21,4,4
380.69,114.21,4,4
376.09,114.21,4,4
371.49,114.21,4,4
366.88,114.21,4,4
362.28,114.21,4,4
357.66,114.17,4,4
353.08,114.12,4,4
348.48,114.12,4,4
343.88,114.12,4,4
339.27,114.12,4,4
334.67,114.12,4,4
330.06,114.08,4,4
325.47,114.03,4,4
320.87,114.03,4,4
316.27,114.03,4,4
311.66,114.03,4,4
307.21,113.96,4,4
302.65,113.94,4,4
298.04,113.94,4,4
293.44,113.94,4,4
288.67,113.91,4,4
284.11,113.85,4,4
279.55,113.84,4,4
274.94,113.84,4,4
270.34,113.84,4,4
265.86,113.76,4,4
261.23,113.75,4,4
256.63,113.75,4,4
252.03,113.75,4,4
247.28,113.73,4,4
242.64,113.66,4,4
238.04,113.66,4,4
233.44,113.66,4,4
228.84,113.66,4,4
224.23,113.66,4,4
219.63,113.66,4,4
215.03,113.66,4,4
210.3,113.67,4,4
205.87,113.73,4,4
201.27,113.75,4,4
196.67,113.75,4,4
192.14,113.82,4,4
187.51,113.84,4,4
182.96,113.92,4,4
178.37,113.96,4,4
173.77,114.04,4,4
169.16,114.13,4,4
164.56,114.23,4,4
160,114.35,4,4
155.4,114.5,4,4
150.8,114.67,4,4
146.19,114.87,4,4
141.6,115.12,4,4
136.99,115.4,4,4
132.4,115.74,4,4
127.8,116.15,4,4
123.2,116.64,4,4
118.65,117.24,4,4
114.13,117.96,4,4
109.63,118.85,4,4
105.19,119.98,4,4
101.79,121.09,4,4
99.252,122.13,4,4
97.288,123.11,4,4
95.814,124.01,4,4
94.688,124.84,4,4
93.761,125.66,4,4
93.018,126.45,4,4
92.429,127.22,4,4
91.926,128.05,4,4
91.56,128.84,4,4
91.29,129.64,4,4
91.112,130.47,4,4
91.025,131.37,4,4
91.044,132.3,4,4
91.179,133.31,4,4
91.457,134.39,4,4
91.853,135.44,4,4
92.465,136.66,4,4
93.291,137.95,4,4
94.435,139.43,4,4
95.916,141.02,4,4
97.832,142.78,4,4
100.29,144.73,4,4
103.43,146.89,4,4
107.16,149.13,4,4
111.23,151.29,4,4
115.39,153.26,4,4
119.6,155.08,4,4
123.87,156.78,4,4
128.19,158.35,4,4
132.54,159.83,4,4
136.92,161.21,4,4
141.32,162.51,4,4
145.77,163.73,4,4
150.21,164.86,4,4
154.67,165.94,4,4
159.16,166.94,4,4
163.66,167.9,4,4
168.18,168.79,4,4
172.7,169.63,4,4
177.23,170.41,4,4
181.8,171.14,4,4
186.35,171.81,4,4
190.9,172.43,4,4
195.46,172.99,4,4
200.04,173.5,4,4
204.63,173.95,4,4
209.22,174.35,4,4
213.83,174.7,4,4
218.44,174.99,4,4
223.04,175.23,4,4
227.64,175.42,4,4
232.24,175.56,4,4
236.83,175.65,4,4
241.44,175.69,4,4
246.19,175.72,4,4
250.68,175.72,4,4
255.25,175.69,4,4
259.85,175.69,4,4
264.4,175.62,4,4
268.99,175.59,4,4
273.53,175.51,4,4
278.18,175.48,4,4
282.77,175.41,4,4
287.5,175.39,4,4
292.06,175.32,4,4
296.66,175.32,4,4
301.27,175.32,4,4
305.87,175.32,4,4
310.47,175.32,4,4
315.07,175.32,4,4
319.62,175.38,4,4
324.19,175.41,4,4
328.78,175.46,4,4
333.38,175.5,4,4
337.92,175.59,4,4
342.5,175.63,4,4
347.12,175.71,4,4
351.74,175.79,4,4
356.37,175.89,4,4
361,176,4,4
365.6,176.11,4,4
370.19,176.28,4,4
374.78,176.44,4,4
379.38,176.64,4,4
384,176.89,4,4
388.6,177.18,4,4
